corp_name,corp_code
(복)이랜드복지재단,1605510
(사)과학기술인공제회,831710
(사)한국자유총연맹,847386
(에스아이에이치)스타인베스트홀딩스리미티드,981273
(의)백상의료재단가족사랑요양병원,1536779
(의)삼성의료재단,1605121
(의)소망의료재단가나안요양병원,1626328
(의)영훈의료재단,1215991
(의)우정의료재단,1603947
(자)도미누스네오스타전략성장사모투자전문회사,1009497
（주）신미코스메틱,1293999
(주)유니맥스,1565744
(주대동판지,621618
(학)배달학원,552974
(학)벽산학원,934363
(학)북일학원,1604016
(학)운산학원,1605662
`비젼스텝,863278
1-800CONTACTS,629595
1004마트,1642991
1020와이오엔지4지아이엘,1376672
111퍼센트,1561270
143삼성미타유동화전문유한회사,762173
153로지스틱스,1495010
1퍼센트월배당,1599404
2000년박현주7호성장형펀드,289218
2010신보뉴챌린지건설제1호유동화전문유한회사,845069
2011기보그린하이텍제이차유동화전문유한회사,897345
2011기보그린하이텍제일차유동화전문유한회사,889346
2011신보그레이트제1차유동화전문유한회사,874380
2011신보그레이트제2차유동화전문유한회사,881423
2011신보그레이트제3차유동화전문유한회사,887588
2011신보뉴라이프제1호유동화전문유한회사,896328
2011신보뉴챌린지건설제1호유동화전문유한회사,858887
2011신보뉴챌린지건설제2호유동화전문유한회사,881414
2011신보뉴챌린지건설제3호유동화전문유한회사,887579
2012기보그린하이텍제일차유동화전문유한회사,936927
2013기보제이차유동화전문유한회사,992437
2013기보제일차유동화전문유한회사,977216
2014기보제삼차유동화전문유한회사,1053160
2014기보제이차유동화전문유한회사,1046902
2014기보제일차유동화전문유한회사,1028809
2014수협은행제1차,1132184
2014스틱성장동력엠앤에이사모투자전문회사,1090019
2014신보크리에이티브제1차유동화전문유한회사,1042818
2015기보제일차유동화전문유한회사,1104516
2016기보제삼차유동화전문유한회사,1188271
2016기보제이차유동화전문유한회사,1183009
2016기보제일차유동화전문유한회사,1160822
2017기보제삼차유동화전문유한회사,1267383
2017기보제이차유동화전문유한회사,1248041
2017기보제일차유동화전문유한회사,1233696
2018기보제이차유동화전문유한회사,1339990
2018기보제일차유동화전문유한회사,1314186
2018동부하이웨이솔라,1632921
2018큐씨피13호사모투자,1437441
2019기보제삼차유동화전문유한회사,1418738
2019기보제이차유동화전문유한회사,1405381
2019기보제일차유동화전문유한회사,1387322
2019제1차스케일업유동화전문유한회사,1406584
2019제2차스케일업유동화전문,1420779
2020기보제이차유동화전문유한회사,1511813
2020기보제일차유동화전문,1480841
2020제1차스케일업유동화전문유한회사,1497771
2021기보제이차유동화전문유한회사,1594375
2021기보제일차유동화전문유한회사,1567344
2030청년주택,1542327
21세기,1307256
21세기기업,208781
21세기산기,862075
21세기조선,480765
21세기종합건설,1460430
21세기컨설팅,574259
21세기프로젝트매니지먼트,656623
21세기화장품,415114
21엔케이,295972
248마일,1339246
360퍼스펙티브,1559530
3노드디지탈그룹유한공사,630111
3NODINVESTMENT(HONGKONG)LIMITED,950778
3S,378363
3SPHOTONICS,999096
3Z,370644
413에벤에셀,1546031
4바이4유한책임회사,1694860
500메트로,1509100
516에벤에셀,1617700
5민랩,1661631
5앤2,1383715
5에스산업,812812
63쇼핑,168049
740게임즈,1663897
88스테이,1230167
88콘크리트,689490
912엔터테인먼트,1627336
가가담목재,1209477
가가이엔지,1447952
가겐투안,533915
가경,1329674
가경,1398540
가경개발,856904
가경디앤씨,688297
가경산업개발,760360
가경엘앤에프,1175541
가경제일차,1324305
가경종합건설,989929
가교김해오토갤러리,1582680
가교산업,1173552
가교아이앤디,1217704
가교회계법인,608538
가나,1629343
가나개발,1688744
가나공업,1012905
가나다,1492095
가나디비,1563418
가나레포츠,250401
가나마린,868006
가나섬유,491220
가나스틸,484886
가나아트갤러리,253790
가나아트한남,1628362
가나안,1639979
가나안,168067
가나안상사,160153
가나안전자정밀,535658
가나안푸드,936893
가나에너지,1376964
가나엔텍,1546712
가나온,1643954
가나원,523723
가나종합건설,452212
가나종합건설,1385670
가나종합철강,1176771
가나중공업,674665
가나축산물유통,1583847
가나토건,386283
가나토건,1078992
가나툴,1293184
가나티엠,1685950
가나프라자,1297427
가나피엔비개발,509167
가네마쯔코퍼레이션,1581584
가네마츠,1543423
가농바이오,386706
가담종합건설,1140457
가담파크,1487288
가드너,1307760
가드너덴버코리아,622149
가드넥,1034970
가드디엘제이차,1684632
가드빌,659019
가든시티,1631922
가든주류,1475247
가든파이브라이프,1076587
가든파크유동화전문유한회사,979861
가디언,922988
가디언네트웍스,630892
가디언앤컴퍼니,1486313
가디언이엔지,1577509
가디언제일차,1056918
가디언코어,1581362
가디언홀딩스,513115
가락건설,100188
가락공판장본점,1647251
가람,683964
가람감정평가법인,619163
가람건설,970471
가람건설,1400650
가람건설산업,489359
가람나노텍,535153
가람솔루션,540359
가람에스티,1384839
가람우즈,614566
가람유통,1086557
가람정공,1141960
가람코리아,563907
가람테크,1691261
가람D&C,1302473
가레트모션코리아,120128
가로림조력발전,642675
가르다제일차,1543335
가르텐,1409314
가리미,1320202
가리봉전기,483364
가리온,1303852
가리온,1449464
가림,1464348
가림,1463774
가림산업,1400933
가림아이앤씨,1452848
가림이엔씨,1649602
가림종합개발,1328611
가림종합건설,1686579
가림컴퍼니,258838
가립회계법인,260037
가마지구힐데스하임,1062502
가미소재,1291830
가민정보시스템,426794
가버먼트오브싱가포르코퍼레이션피티이.엘티디.,334217
가베,1647659
가보,1060674
가보개발,676140
가보관광산업,914916
가보이앤씨,1398887
가보테크,594785
가보테크,1016071
가브리엘제삼차,1518409
가브리엘제오차,1518515
가브리엘제이차,1518393
가브리엘제일차,1518375
가브린트,1277131
가비,1089615
가비건설,1413900
가비아,506294
가비아씨엔에스,1536982
가빈,665029
가빈제일차,1354227
가산개발,821564
가산건설,531111
가산디씨디,1577299
가산디씨에스엘원,1583041
가산디씨제이브이,1670408
가산디앤씨,1312726
가산로지스,1653696
가산브이프로젝트금융투자,812928
가산아이씨티,1114212
가산아이윌,1537273
가산와이엔개발,1564879
가산웰스홀딩스,1383469
가산일렉트론,924302
가산타워,790909
가산타워제일차,1222760
가산토건,235341
가석,1099357
가성건설,1251939
가솔린,1134508
가스엔텍,1300369
가스켐테크놀로지,878313
가스코,966797
가스코,1432349
가스톤,1047673
가스트론,917384
가승개발,1161070
가시태양광발전,1477740
가야,246028
가야,561273
가야,633507
가야강남,594022
가야개발,100212
가야도시개발,1641813
가야레미콘,935441
가야미디어,218900
가야산업,253259
가야아이비에스,1460014
가야약품,354187
가야이에스씨,762483
가야종합건설,371430
가야종합건설,485432
가야종합건설,1224458
가야중공업,369189
가야철도,659620
가야테크놀로지,1072323
가야특수강,618252
가야포징,972099
가야호텔,815651
가양,1073012
가양수산,1588028
가양종합건설,817668
가엘에스앤에스,1478837
가연,1594144
가영세라믹스,1436327
가오닉스스포츠,440235
가온,1300828
가온,1253928
가온,1679694
가온감정평가법인,622237
가온개발,1684571
가온건설,1562279
가온과사람들,1042128
가온관리,1477388
가온누리,665755
가온누리,1517507
가온데이터,1579473
가온디앤디,1681510
가온디앤씨,1411948
가온디앤씨,1589443
가온미디어,441304
가온브로드밴드,1490370
가온빌더스,1509845
가온빌드,1366949
가온빛,1143010
가온산업개발,1408148
가온소프트,863649
가온솔루션,1310135
가온신소재,1636866
가온아이,529772
가온아이앤티,1555598
가온알이에스,1676299
가온에스티,873822
가온에이앤디,1216200
가온에프앤에스,1502930
가온와이더블유,1415096
가온인베스트먼트,1330999
가온인베스트먼트대부,975209
가온인슈,607733
가온전선,104768
가온제이에스,1582273
가온주택건설,1332881
가온찬빛,1530881
가온칩스,1364747
가온텔레콤,1461192
가온푸드,1498354
가온피앤이,1135321
가우,984854
가우넷,672889
가우디,237206
가우디산업개발,1697317
가우디오랩,1689910
가우리안,871189
가우스,1137596
가우스캐피탈매니지먼트,1065439
가우연,495882
가우정푸드,1224980
가우테크,1300590
가우프로퍼티스,1304189
가우플랜,774062
가우홀딩스,1659830
가운,1339273
가울,1142923
가울투자자문,461423
가원,907873
가원,1137514
가원개발,1645776
가원건설,255600
가원도시개발,1579242
가원디앤씨,1451557
가원서,1648214
가원아이,543505
가원이엔씨,987055
가원인터내셔널,1329045
가원주택,1591387
가유,834948
가율회계법인,637169
가은건설,1224892
가은글로벌,1251920
가은종합건설,1291672
가은투자개발,666019
가은프라퍼티스,1650680
가은회계법인,1034138
가을디에스,1423369
가이드건설,619659
가이블,336127
가이스링거,1096545
가이아,1372038
가이아,819116
가이아건설,448866
가이아글로벌,1435160
가이아디벡스제사차,950750
가이아디벡스제오차,950732
가이아디벡스제육차,950741
가이아디앤씨,815697
가이아로지스,1025370
가이아리조트,1653410
가이아모바일코리아,1404586
가이아물류,943547
가이아미래일반산단,888851
가이아에너지,1310807
가이아영제이차,960739
가이아왕숙,1691438
가이아제1호,1633285
가이아제일호,1395552
가이아코퍼레이션,1229240
가이아태안,1635830
가이아평택,1635733
가이아환경,489304
가이야씨앤지,1412390
가이엔지니어링,247179
가이오산업,532891
가인물산,1017256
가인비엘,1037436
가인솔루션스,879941
가인수산,413514
가인약품,835804
가인정보처리주,294636
가인주택개발,591283
가인주택건설,1174418
가인철강,578042
가인테크,424468
가인피앤디,609272
가인행복,1547702
가일,1657540
가자건설정보,510695
