DART_CODE,KOSPI_CODE,KOSPI_NAME,DART_CODE,KOSDAK_CODE,KOSDAK_NAME
126380,5930,삼성전자,1160363,247540,에코프로비엠
1515323,373220,LG에너지솔루션,554024,91990,셀트리온헬스케어
877059,207940,삼성바이오로직스,398701,66970,엘앤에프
164779,660,SK하이닉스,199252,28300,HLB
126362,6400,삼성SDI,536541,86520,에코프로
356361,51910,LG화학,1137383,293490,카카오게임즈
164742,5380,현대자동차,1152470,263750,펄어비스
266961,35420,NAVER,541349,68760,셀트리온제약
106641,270,기아,655350,278280,천보
421045,68270,셀트리온,369657,58470,리노공업
126229,28260,삼성물산,1168684,253450,스튜디오드래곤
918444,35720,카카오,258689,35900,JYP Ent.
155319,5490,POSCO홀딩스,444329,112040,위메이드
164788,12330,현대모비스,265324,35760,CJ ENM
688996,105560,KB금융,1489648,357780,솔브레인
382199,55550,신한지주,788773,96530,씨젠
631518,96770,SK이노베이션,521178,41510,에스엠
155276,3670,포스코케미칼,989619,196170,알테오젠
144155,34730,SK,118804,5290,동진쎄미켐
401731,66570,LG전자,177816,78600,대주전자재료
126256,32830,삼성생명,470768,25900,동화기업
244455,33780,케이티앤지,171265,34230,파라다이스
120021,3550,LG,871833,237690,에스티팜
547583,86790,하나금융지주,888347,145020,휴젤
102858,10130,고려아연,358271,56190,에스에프에이
159023,17670,SK텔레콤,1135941,240810,원익IPS
159193,15760,한국전력공사,365590,67630,HLB생명과학
1390344,329180,현대중공업,245472,64760,티씨케이
138279,10950,S-Oil,117276,7390,네이처셀
1133217,323410,카카오뱅크,1011526,348370,엔켐
139214,810,삼성화재해상보험,480367,100090,삼강엠앤티
126186,18260,삼성에스디에스,549891,214370,케어젠
186461,30200,케이티,496191,137400,피엔티
159616,34020,두산에너빌리티,1095722,222800,심텍
162461,9830,한화솔루션,439965,121600,나노신소재
760971,259960,크래프톤,1012066,195940,HK이노엔
164645,11200,HMM,1185609,214150,클래시스
126371,9150,삼성전기,1096341,225570,넥슨게임즈
261443,36570,엔씨소프트,1074862,215200,메가스터디교육
113526,3490,대한항공,476498,78340,컴투스
356370,51900,LG생활건강,155212,22100,포스코 ICT
375302,316140,우리금융지주,226352,32500,케이엠더블유
149646,24110,기업은행,1256864,298380,에이비엘바이오
105961,11070,LG이노텍,313649,48410,현대바이오
360595,86280,현대글로비스,1061558,213420,덕산네오룩스
583424,90430,아모레퍼시픽,971522,98460,고영
635134,97950,CJ제일제당,465881,90460,비에이치
1319899,302440,SK바이오사이언스,842619,141080,레고켐바이오
1568413,383220,F&F,822572,222080,씨아이에스
165413,11170,롯데케미칼,399694,67160,아프리카TV
164830,9540,한국조선해양,148364,3380,하림지주
1244601,377300,카카오페이,158325,30190,NICE평가정보
