AJ네트웍스,095570,46822295
AK홀딩스,006840,13247561
BGF리테일,282330,17283906
BGF,027410,95716791
BNK금융지주,138930,325935246
BYC우,001465,215385
BYC,001460,624615
CJ우,001045,2260223
CJ4우(전환),00104K,4226512
CJ,001040,29176998
CJ씨푸드1우,011155,200000
CJ씨푸드,011150,35930773
CS홀딩스,000590,1154482
DB,012030,201173933
DB금융투자,016610,42446389
DB손해보험,005830,70800000
DB하이텍1우,000995,112316
DB하이텍,000990,44398588
DGB금융지주,139130,169145833
DI동일,001530,25568270
DL우,000215,1686115
DL건설,001880,22053284
DL,000210,20955884
DL이앤씨우,37550K,2113885
DL이앤씨2우(전환),37550L,2111951
DL이앤씨,375500,38693623
DSR,155660,16000000
DSR제강,069730,14400000
E1,017940,6860000
ESR켄달스퀘어리츠,365550,213089000
F&F,383220,38307075
F&F홀딩스,007700,39114367
GS우,078935,1784826
GS건설,006360,85581490
GS,078930,92915378
HDC,012630,59741721
HDC현대산업개발,294870,65907330
HJ중공업,097230,83274281
HL D&I,014790,37858601
HL만도,204320,46957120
HL홀딩스,060980,10472070
IHQ,003560,208095648
JB금융지주,175330,196982894
JW생명과학,234080,15834554
JW중외제약우,001065,325655
JW중외제약2우B,001067,200000
JW중외제약,001060,22178081
JW홀딩스,096760,70444706
KB금융,105560,408897068
KB스타리츠,432320,101414285
KCTC,009070,30000000
KG스틸,016380,100008897
KG케미칼,001390,13866096
KH 필룩스,033180,156760385
KISCO홀딩스,001940,16176380
KPX케미칼,025000,4840000
KPX홀딩스,092230,4224646
KR모터스,000040,96138465
LF,093050,29240000
LG우,003555,3021620
LG디스플레이,034220,357815700
LG,003550,157300993
LG생활건강우,051905,2099697
LG생활건강,051900,15618197
LG에너지솔루션,373220,234000000
LG유플러스,032640,436611361
LG이노텍,011070,23667107
LG전자우,066575,17185992
LG전자,066570,163647814
LG화학우,051915,7688800
LG화학,051910,70592343
LIG넥스원,079550,22000000
LS ELECTRIC,010120,30000000
LS네트웍스,000680,78803016
LS,006260,32200000
LX세미콘,108320,16264300
LX인터내셔널,001120,38760000
MH에탄올,023150,7378526
NAVER,035420,164049085
NHN,181710,36017198
NH프라임리츠,338100,18660000
NICE,034310,37882300
NI스틸,008260,28600117
NPC우,004255,5280000
NPC,004250,36720000
OCI,010060,23849371
S-Oil우,010955,4021927
S-Oil,010950,112582792
SGC에너지,005090,14677004
SG글로벌,001380,44964143
SHD,001770,1214878
SH에너지화학,002360,111133730
SIMPAC,009160,65429516
SJM,123700,15604898
SJM홀딩스,025530,14934008
SK우,03473K,566135
SKC,011790,37868298
SK가스,018670,9230244
SK네트웍스우,001745,113648
SK네트웍스,001740,248187647
SK디앤디,210980,22190164
SK리츠,395400,196554079
SK,034730,74149329
SK스퀘어,402340,141467571
SK아이이테크놀로지,361610,71297592
SK이노베이션우,096775,1248426
SK이노베이션,096770,92465564
SK증권우,001515,3912514
SK증권,001510,472590171
SK케미칼우,28513K,2115429
SK케미칼,285130,17253783
SK텔레콤,017670,218833144
SNT모티브,064960,14623136
SNT에너지,100840,7506711
SNT중공업,003570,33252697
SNT홀딩스,036530,16303886
SPC삼립,005610,8629009
STX,011810,28621454
STX엔진,077970,23008904
STX중공업,071970,28381042
TBH글로벌,084870,20856819
TCC스틸,002710,25386019
WISCOM,024070,15326438
가온전선,000500,6358926
강남제비스코,000860,6500000
강원랜드,035250,213940500
갤럭시아에스엠,011420,27549644
경농,002100,19522575
경동나비엔,009450,14568592
경동도시가스,267290,5895406
경동인베스트,012320,2365023
경방,000050,27415270
경보제약,214390,23906860
경인양행,012610,41616365
경인전자,009140,1570797
계룡건설,013580,8930907
계양전기우,012205,1400000
계양전기,012200,32600000
고려산업,002140,24939425
고려아연,010130,19863158
고려제강,002240,23000000
광동제약,009290,52420851
광명전기,017040,43337615
광전자,017900,57943763
광주신세계,037710,8000000
교보증권,030610,64653296
교촌에프앤비,339770,24982540
국도화학,007690,9010616
국동,005320,55409386
국보,001140,82036820
국제약품,002720,20195149
GKL,114090,61855670
그린케미칼,083420,24000000
극동유화,014530,34869420
금강공업우,014285,589875
금강공업,014280,29329357
금비,008870,1000000
금양,001570,58050037
금호건설우,002995,292266
금호건설,002990,36953595
금호석유우,011785,3023486
금호석유,011780,29314312
금호에이치티,214330,201042738
금호전기,001210,27554191
금호타이어,073240,287260287
기신정기,092440,29200000
기아,000270,405363347
까뮤이앤씨,013700,45152280
깨끗한나라우,004545,366160
깨끗한나라,004540,37240693
남광토건,001260,9829014
남선알미우,008355,307890
남선알미늄,008350,129079090
남성,004270,36212160
남양유업우,003925,166662
남양유업,003920,720000
남해화학,025860,49678843
넥센우,005725,3600600
넥센,005720,53543977
넥센타이어1우B,002355,6500000
넥센타이어,002350,97667877
넷마블,251270,85953502
노루페인트우,090355,463126
노루페인트,090350,20000000
노루홀딩스우,000325,243559
노루홀딩스,000320,13291151
녹십자,006280,11686538
녹십자홀딩스2우,005257,845990
녹십자홀딩스,005250,47028210
농심,004370,6082642
농심홀딩스,072710,4637790
다스코,058730,18842667
다올투자증권,030210,60314092
다우기술,023590,44866617
다이나믹디자인,145210,9941062
대교,019680,84702850
대교우B,019685,19426990
대구백화점,006370,10821611
대덕1우,00806K,1212357
대덕,008060,33890150
대덕전자,353200,49416925
대덕전자1우,35320K,2095519
대동,000490,23932354
대동전자,008110,10490447
대림B&Co,005750,16672240
대림통상,006570,15225000
대상우,001685,1370223
대상,001680,34648025
대상홀딩스우,084695,913482
대상홀딩스,084690,36212538
대성산업,128820,45235478
대성에너지,117580,27500000
대성홀딩스,016710,16089459
대신증권우,003545,26000000
대신증권2우B,003547,10000000
대신증권,003540,50773400
대양금속,009190,32354764
대영포장,014160,108394549
대우건설,047040,415622638
대우부품,009320,47646375
대우조선해양,042660,107290669
대웅,003090,58141980
대웅제약,069620,11586575
대원강업,000430,62000000
