AJ네트웍스,00365387,095570,46822295
AK홀딩스,00125080,006840,13247561
BGF리테일,01263022,282330,17283906
BGF,00219097,027410,95716791
BNK금융지주,00858364,138930,325935246
BYC,00122579,001460,624615
CJ,00148540,001040,29176998
CJ씨푸드,00129013,011150,35930773
CS홀딩스,00149026,000590,1154482
DB,00163345,012030,201173933
DB금융투자,00115694,016610,42446389
DB손해보험,00159102,005830,70800000
DB하이텍,00160843,000990,44398588
DGB금융지주,00878915,139130,169145833
DL건설,00128971,001880,22053284
DL,00109693,000210,20955884
DL이앤씨,01524093,375500,38693623
DSR,00110608,155660,16000000
DSR제강,00151298,069730,14400000
E1,00165583,017940,6860000
ESR켄달스퀘어리츠,01437186,365550,213089000
F&F,01568413,383220,38307075
GS건설,00120030,006360,85581490
GS,00500254,078930,92915378
HDC,00164636,012630,59741721
HDC현대산업개발,01310269,294870,65907330
HJ중공업,00633835,097230,83274281
HL D&I,00161116,014790,37858601
HL만도,01042775,204320,46957120
HL홀딩스,00299002,060980,10472070
JB금융지주,00980122,175330,196982894
JW생명과학,00225706,234080,15834554
JW중외제약,00149947,001060,22178081
JW홀딩스,00632304,096760,70444706
KB금융,00688996,105560,408897068
KB스타리츠,01622720,432320,101414285
KG스틸,00115676,016380,100008897
KG케미칼,00101220,001390,13866096
KH 필룩스,00193009,033180,156760385
KISCO홀딩스,00159740,001940,16176380
KPX케미칼,00191472,025000,4840000
KPX홀딩스,00587466,092230,4224646
KR모터스,00112378,000040,96138465
LF,00593032,093050,29240000
LG디스플레이,00105873,034220,357815700
LG,00120021,003550,157300993
LG생활건강,00356370,051900,15618197
LG에너지솔루션,01515323,373220,234000000
LG유플러스,00231363,032640,436611361
LG이노텍,00105961,011070,23667107
LG전자,00401731,066570,163647814
LG화학,00356361,051910,70592343
LIG넥스원,00503668,079550,22000000
LS네트웍스,00104698,000680,78803016
LS,00105952,006260,32200000
LX세미콘,00525934,108320,16264300
LX인터내셔널,00120076,001120,38760000
MH에탄올,00121534,023150,7378526
NAVER,00266961,035420,164049085
NH프라임리츠,01391033,338100,18660000
NICE,00158316,034310,37882300
NI스틸,00116301,008260,28600117
OCI,00148896,010060,23849371
S-Oil,00138279,010950,112582792
SGC에너지,00125150,005090,14677004
SG글로벌,00152039,001380,44964143
SHD,00137809,001770,1214878
SH에너지화학,00136457,002360,111133730
SIMPAC,00138260,009160,65429516
SKC,00139889,011790,37868298
SK가스,00144164,018670,9230244
SK네트웍스,00131780,001740,248187647
SK디앤디,00508344,210980,22190164
SK리츠,01535150,395400,196554079
SK,00181712,034730,74149329
SK스퀘어,01596425,402340,141467571
SK아이이테크놀로지,01386916,361610,71297592
SK이노베이션,00631518,096770,92465564
SK증권,00131850,001510,472590171
SK케미칼,01267170,285130,17253783
SK텔레콤,00159023,017670,218833144
SNT모티브,00398792,064960,14623136
SNT에너지,00648721,100840,7506711
SNT중공업,00134477,003570,33252697
SNT홀딩스,00225159,036530,16303886
SPC삼립,00125530,005610,8629009
STX,00138297,011810,28621454
STX엔진,00480455,077970,23008904
STX중공업,00406046,071970,28381042
TCC스틸,00117300,002710,25386019
WISCOM,00142865,024070,15326438
가온전선,00104768,000500,6358926
강남제비스코,00100939,000860,6500000
강원랜드,00255619,035250,213940500
갤럭시아에스엠,00129554,011420,27549644
경농,00101433,002100,19522575
경동나비엔,00101488,009450,14568592
경동도시가스,01208885,267290,5895406
경동인베스트,00143527,012320,2365023
경방,00101628,000050,27415270
경보제약,00101664,214390,23906860
경인양행,00102113,012610,41616365
경인전자,00102140,009140,1570797
계양전기,00102618,012200,32600000
고려산업,00102751,002140,24939425
고려아연,00102858,010130,19863158
고려제강,00103006,002240,23000000
광동제약,00103592,009290,52420851
광명전기,00828257,017040,43337615
광전자,00152729,017900,57943763
광주신세계,00220561,037710,8000000
교보증권,00113359,030610,64653296
교촌에프앤비,00453284,339770,24982540
국도화학,00104388,007690,9010616
국동,00168331,005320,55409386
국보,00104519,001140,82036820
국제약품,00104722,002720,20195149
GKL,00557508,114090,61855670
그린케미칼,00454946,083420,24000000
극동유화,00105156,014530,34869420
금강공업,00105299,014280,29329357
금비,00168401,008870,1000000
금양,00106119,001570,58050037
금호건설,00106313,002990,36953595
금호에이치티,00105606,214330,201042738
금호전기,00106395,001210,27554191
금호타이어,00481454,073240,287260287
기신정기,00106614,092440,29200000
기아,01664948,000270,405363347
까뮤이앤씨,00129420,013700,45152280
깨끗한나라,00113492,004540,37240693
남광토건,00107066,001260,9829014
남선알미늄,00107224,008350,129079090
남성,00172185,004270,36212160
남양유업,00107598,003920,720000
남해화학,00107987,025860,49678843
넥센,00167192,005720,53543977
넥센타이어,00173874,002350,97667877
넷마블,00904672,251270,85953502
노루페인트,00583442,090350,20000000
노루홀딩스,00113508,000320,13291151
녹십자,00129679,006280,11686538
녹십자홀딩스,00108135,005250,47028210
농심,00108241,004370,6082642
농심홀딩스,00459871,072710,4637790
다스코,01464108,058730,18842667
다올투자증권,00156859,030210,60314092
다우기술,00176914,023590,44866617
다이나믹디자인,00453488,145210,9941062
대교,00108913,019680,84702850
대구백화점,00108977,006370,10821611
대덕,00767637,008060,33890150
대덕전자,01478712,353200,49416925
대동,01076480,000490,23932354
대동전자,00157104,008110,10490447
대림통상,00109824,006570,15225000
대상,00121941,001680,34648025
대상홀딩스,00539274,084690,36212538
대성산업,00828789,128820,45235478
대성에너지,00787376,117580,27500000
대성홀딩스,00108940,016710,16089459
대신증권,00110893,003540,50773400
대양금속,00111111,009190,32354764
대영포장,00111458,014160,108394549
대우건설,00124540,047040,415622638
대우부품,00111689,009320,47646375
대우조선해양,00111704,042660,107290669
대웅,00111810,003090,58141980
대웅제약,00427483,069620,11586575
대원강업,00111847,000430,62000000
대원전선,00260392,006340,71964534
대원제약,00111999,003220,21860510
대원화성,00112022,024890,41249152
대유에이텍,00149804,002880,115177625
대유플러스,00126089,000300,120998774
대창단조,00112679,015230,28572230
대창,00112651,012800,91140499
대한방직,00112970,001070,5300000
대한유화,00260383,006650,6500000
대한전선,00113207,001440,1244473009
대한제강,00113225,084010,24646734
대한제당,00113234,001790,89696580
대한제분,00113243,001130,1690000
대한항공,00113526,003490,368220661
대한해운,00113535,005880,319177460
대한화섬,00113544,003830,1328000
대현,00113614,016090,44282310
대호에이엘,00428729,069460,52003519
더블유게임즈,01010110,192080,18374502
더존비즈온,00172291,012510,30382784
덕성,00114093,004830,15680000
덕양산업,00114154,024900,32564980
덴티움,00526599,145720,11068830
도화엔지니어링,00114552,002150,33720000
동국제강,00114792,001230,95432737
동방,00115287,004140,47971766
동방아그로,00115384,007590,13617577
동부건설,01690688,005960,22874822
동서,01268674,026960,99700000
동성제약,00116268,002210,26100970
동성케미컬,00679314,102260,49689728
동아쏘시오홀딩스,00116824,000640,6348913
동아에스티,00956930,170900,8446538
동아지질,00178754,028100,14052646
동아타이어,01262458,282690,13733015
동양고속,00540641,084670,2895569
동양,01286120,001520,238684063
동양생명,00117267,082640,161358585
동양철관,00117629,008970,118885290
동양피스톤,00117726,092780,13168460
동원F&B,00340917,049770,3859124
동원금속,00118008,018500,46754933
동원산업,00118026,006040,49982665
동원수산,00118044,030720,4653805
동원시스템즈,00132637,014820,28991282
동일고무벨트,00939687,163560,13900000
동일산업,00118354,004890,2425215
동일제강,00118451,002690,20300360
동화약품,00119195,000020,27931470
두산밥캣,01032486,241560,100249166
두산,00117212,000150,16523835
두산에너빌리티,00159616,034020,638308033
두산퓨얼셀,01412725,336260,65493726
두올,00119672,016740,33066680
드림텍,00415646,192650,67395497
디씨엠,00177199,024090,11400000
디아이,00118275,003160,31496785
디아이씨,01022629,092200,38888569
DRB동일,00118266,004840,19930000
